Datetime,Open,High,Low,Close,Volume
2025-08-05 17:00:00+00:00,1.15795,1.15832,1.15756,1.15782,1140.0
2025-08-05 18:00:00+00:00,1.15782,1.15796,1.15705,1.15736,3783.0
2025-08-05 19:00:00+00:00,1.15736,1.15752,1.15664,1.15728,3425.0
2025-08-05 20:00:00+00:00,1.15728,1.15776,1.15714,1.15752,2264.0
2025-08-05 21:00:00+00:00,1.15742,1.1576,1.15734,1.15742,487.0
2025-08-05 22:00:00+00:00,1.15744,1.15777,1.1571,1.15762,1398.0
2025-08-05 23:00:00+00:00,1.15762,1.15814,1.15731,1.15786,1383.0
2025-08-06 00:00:00+00:00,1.15785,1.15853,1.15729,1.15738,3571.0
2025-08-06 01:00:00+00:00,1.15736,1.15737,1.15648,1.1567,4046.0
2025-08-06 02:00:00+00:00,1.1567,1.1572,1.15643,1.15694,3325.0
2025-08-06 03:00:00+00:00,1.15694,1.1582,1.15694,1.15802,2987.0
2025-08-06 04:00:00+00:00,1.15802,1.15865,1.15778,1.1583,2879.0
2025-08-06 05:00:00+00:00,1.15826,1.15834,1.15744,1.15789,3257.0
2025-08-06 06:00:00+00:00,1.15786,1.15883,1.15766,1.15786,5241.0
2025-08-06 07:00:00+00:00,1.15786,1.15822,1.15714,1.1581,6238.0
2025-08-06 08:00:00+00:00,1.15812,1.15834,1.15704,1.15752,5441.0
2025-08-06 09:00:00+00:00,1.1575,1.1588,1.15744,1.1585,4873.0
2025-08-06 10:00:00+00:00,1.1585,1.16108,1.15842,1.16071,7632.0
2025-08-06 11:00:00+00:00,1.16072,1.16152,1.15977,1.16043,5827.0
2025-08-06 12:00:00+00:00,1.1604,1.16286,1.16004,1.16237,7337.0
2025-08-06 13:00:00+00:00,1.16236,1.1636,1.16173,1.16358,10451.0
2025-08-06 14:00:00+00:00,1.16359,1.16379,1.16224,1.16274,10937.0
2025-08-06 15:00:00+00:00,1.16274,1.1647,1.16227,1.16462,12409.0
2025-08-06 16:00:00+00:00,1.16463,1.16484,1.16308,1.16346,8214.0
2025-08-06 17:00:00+00:00,1.16346,1.16552,1.16331,1.16492,6237.0
2025-08-06 18:00:00+00:00,1.16494,1.16686,1.16481,1.16625,4943.0
2025-08-06 19:00:00+00:00,1.16624,1.1664,1.16528,1.16566,2855.0
2025-08-06 20:00:00+00:00,1.16566,1.16604,1.16504,1.16602,3554.0
2025-08-06 21:00:00+00:00,1.16577,1.16599,1.16544,1.16584,858.0
2025-08-06 22:00:00+00:00,1.16578,1.1666,1.16578,1.16638,1538.0
2025-08-06 23:00:00+00:00,1.16638,1.1664,1.16595,1.1663,1570.0
2025-08-07 00:00:00+00:00,1.16631,1.1664,1.1651,1.16524,4044.0
2025-08-07 01:00:00+00:00,1.16525,1.16629,1.16495,1.16578,4184.0
2025-08-07 02:00:00+00:00,1.16578,1.16652,1.16562,1.16575,3019.0
2025-08-07 03:00:00+00:00,1.16574,1.16654,1.16534,1.16648,3018.0
2025-08-07 04:00:00+00:00,1.16647,1.16766,1.1663,1.16714,3084.0
2025-08-07 05:00:00+00:00,1.16714,1.16764,1.16685,1.16752,3088.0
2025-08-07 06:00:00+00:00,1.16752,1.16798,1.1668,1.1676,5765.0
2025-08-07 07:00:00+00:00,1.16759,1.16914,1.16734,1.16897,7260.0
2025-08-07 08:00:00+00:00,1.16896,1.16988,1.16758,1.16828,9041.0
2025-08-07 09:00:00+00:00,1.1683,1.16848,1.16705,1.16706,5291.0
2025-08-07 10:00:00+00:00,1.16708,1.16718,1.16616,1.16703,6083.0
2025-08-07 11:00:00+00:00,1.167,1.16767,1.1634,1.16446,12149.0
2025-08-07 12:00:00+00:00,1.16444,1.16626,1.16376,1.1651,12604.0
2025-08-07 13:00:00+00:00,1.16511,1.16586,1.1638,1.16428,13503.0
2025-08-07 14:00:00+00:00,1.16429,1.16499,1.16142,1.16244,18282.0
2025-08-07 15:00:00+00:00,1.16244,1.16338,1.1611,1.16326,5895.0
