Datetime,Open,High,Low,Close,Volume
2025-08-05 16:00:00+00:00,1.15795,1.15832,1.15664,1.15728,8348.0
2025-08-05 20:00:00+00:00,1.15728,1.15814,1.1571,1.15786,5532.0
2025-08-06 00:00:00+00:00,1.15785,1.15853,1.15643,1.15802,13929.0
2025-08-06 04:00:00+00:00,1.15802,1.15883,1.15714,1.1581,17615.0
2025-08-06 08:00:00+00:00,1.15812,1.16152,1.15704,1.16043,23773.0
2025-08-06 12:00:00+00:00,1.1604,1.1647,1.16004,1.16462,41134.0
2025-08-06 16:00:00+00:00,1.16463,1.16686,1.16308,1.16566,22249.0
2025-08-06 20:00:00+00:00,1.16566,1.1666,1.16504,1.1663,7520.0
2025-08-07 00:00:00+00:00,1.16631,1.16654,1.16495,1.16648,14265.0
2025-08-07 04:00:00+00:00,1.16647,1.16914,1.1663,1.16897,19197.0
2025-08-07 08:00:00+00:00,1.16896,1.16988,1.1634,1.16446,32564.0
2025-08-07 12:00:00+00:00,1.16444,1.16626,1.1611,1.16326,50284.0
