Day_Name,Range_Pips_mean,Range_Pips_std,Body_Pips_mean,Bullish_Ratio
Saturday,446859.5181818182,2961009.730025015,216.96136363636353,0.4090909090909091
Sunday,690.5048780487805,1400.8170480029178,237.60000000000014,0.5365853658536586
Tuesday,536.0357142857143,272.7663127593044,280.7857142857143,0.47619047619047616
Wednesday,504.30454545454546,294.5640254598943,249.9159090909092,0.4090909090909091
Monday,477.70454545454555,212.7350726646858,227.73181818181808,0.6590909090909091
Thursday,474.628888888889,196.63263696342963,264.60000000000014,0.4888888888888889
Friday,467.2255813953492,273.8449927318313,229.94651162790709,0.6046511627906976
